Material,Month,Year,Unit Price,Unit Price (x 1000),Rate Card Price,Unit Rate Card Price,Amount Doc Curr (£),Invoice Receipt Quantity,Difference,diff x quant
417750,1,2021,0.0584,58.44001538825758,60.6,0.0606,3949.61,67584,0.0022000000000000006,148.68480000000005
378928,1,2021,0.0175,17.46001059322034,17.32,0.0173,5933.61,339840,-0.00020000000000000226,-67.96800000000077
424498,1,2021,0.0175,17.45999588041431,17.32,0.0173,11867.21,679680,-0.00020000000000000226,-135.93600000000154
394733,1,2021,0.2883,288.32990196078435,287.65,0.2876,5881.93,20400,-0.0006999999999999784,-14.27999999999956
394733,1,2021,0.2883,288.32990196078435,287.65,0.2876,5881.93,20400,-0.0006999999999999784,-14.27999999999956
394734,1,2021,0.2937,293.739880952381,293.06,0.2931,4934.83,16800,-0.0005999999999999894,-10.079999999999822
394734,1,2021,0.2937,293.739880952381,293.06,0.2931,4934.83,16800,-0.0005999999999999894,-10.079999999999822
411567,1,2021,0.0271,27.11,26.88,0.0269,12687.48,468000,-0.0001999999999999988,-93.59999999999944
428891,1,2021,0.0271,27.11,26.88,0.0269,6343.74,234000,-0.0001999999999999988,-46.79999999999972
396399,1,2021,0.082,82.0201048951049,81.35,0.0813,2814.93,34320,-0.0007000000000000062,-24.02400000000021
394734,1,2021,0.2937,293.739880952381,293.06,0.2931,4934.83,16800,-0.0005999999999999894,-10.079999999999822
394734,1,2021,0.2937,293.7400793650794,293.06,0.2931,2960.9,10080,-0.0005999999999999894,-6.0479999999998935
402602,1,2021,0.1194,119.43993506493506,119.24,0.1192,4120.2,34496,-0.00020000000000000573,-6.899200000000198
402602,1,2021,0.1194,119.43994839315037,119.24,0.1192,10183.45,85260,-0.00020000000000000573,-17.05200000000049
428891,8,2021,0.0584,58.440212673611114,27.11,0.0271,1077.17,18432,-0.0313,-576.9216
428891,8,2021,0.0584,58.440212673611114,27.11,0.0271,1077.17,18432,-0.0313,-576.9216
428891,8,2021,0.0584,58.440104166666664,27.11,0.0271,1795.28,30720,-0.0313,-961.5360000000001
428891,12,2021,0.0584,58.440104166666664,27.11,0.0271,-1795.28,-30720,-0.0313,961.5360000000001
428891,12,2021,0.0584,58.440212673611114,27.11,0.0271,-1077.17,-18432,-0.0313,576.9216
428891,12,2021,0.0584,58.440212673611114,27.11,0.0271,-1077.17,-18432,-0.0313,576.9216
417750,4,2021,0.0584,58.44001538825758,60.6,0.0606,-3949.61,-67584,0.0022000000000000006,-148.68480000000005
411574,4,2021,0.0606,60.610054347826086,58.44,0.0584,1784.36,29440,-0.0022000000000000006,-64.76800000000001
411574,4,2021,0.0606,60.610054347826086,58.44,0.0584,-1784.36,-29440,-0.0022000000000000006,64.76800000000001
394734,1,2021,0.2937,293.739880952381,293.06,0.2931,4934.83,16800,-0.0005999999999999894,-10.079999999999822
425230,6,2021,0.0793,79.2831541218638,79,0.079,11325.44,142848,-0.0002999999999999947,-42.854399999999245
424498,10,2021,0.0698,69.84004237288136,17.46,0.0175,5933.61,84960,-0.0523,-4443.408
424498,10,2021,0.0698,69.84004237288136,17.46,0.0175,-5933.61,-84960,-0.0523,4443.408
417750,5,2021,0.0623,62.349934895833336,60.6,0.0606,1915.39,30720,-0.0017000000000000001,-52.224000000000004
394732,1,2021,0.271,271.0200980392157,270.35,0.2704,5528.81,20400,-0.0006000000000000449,-12.240000000000917
394732,1,2021,0.271,271.0200980392157,270.35,0.2704,5528.81,20400,-0.0006000000000000449,-12.240000000000917
394732,1,2021,0.271,271.0200980392157,270.35,0.2704,5528.81,20400,-0.0006000000000000449,-12.240000000000917
396399,1,2021,0.082,82.01995920745921,81.35,0.0813,5629.85,68640,-0.0007000000000000062,-48.04800000000042
428891,1,2021,0.0271,27.11,26.88,0.0269,12687.48,468000,-0.0001999999999999988,-93.59999999999944
